"Relative Time","Error -26608:Action.c(9) Error -26608 HTTP Status-Code=503 (Service Unavailable) for ""http//127.0.0.13838/?m=3&n=14""","Error -26608:Action.c(9) Error -26608 HTTP Status-Code=503 (Service Unavailable) for ""http//127.0.0.13838/?m=3&n=6"""
"03:22","0","70"
"03:23","0","51"
"03:24","0","42"
"03:25","0","41"
"03:26","0","41"
"03:27","0","83"
"03:28","0","41"
"03:29","0","42"
"03:30","0","43"
"03:31","0","45"
"03:32","0","61"
"03:33","0","55"
"03:34","0","41"
"03:35","0","46"
"03:36","0","43"
"03:37","0","56"
"03:38","0","58"
"03:39","0","52"
"03:40","0","44"
"03:41","0","44"
"03:42","0","89"
"03:43","0","45"
"03:44","0","46"
"03:45","0","46"
"03:46","0","45"
"03:47","0","45"
"03:48","0","45"
"03:49","0","46"
"03:50","0","40"
"03:51","0","40"
"03:52","0","37"
"03:53","0","36"
"03:54","0","33"
"03:55","0","26"
"03:56","0","21"
"03:57","0","0"
"03:58","0","39"
"03:59","0","45"
"04:00","0","31"
"04:01","0","48"
"04:02","0","47"
"04:03","0","49"
"04:04","0","48"
"04:05","0","76"
"04:06","0","49"
"04:07","0","42"
"04:08","0","38"
"04:09","0","40"
"04:10","0","49"
"04:11","0","76"
"04:12","0","41"
"04:13","0","60"
"04:14","0","49"
"04:15","0","51"
"04:16","0","49"
"04:17","0","51"
"04:18","0","49"
"04:19","0","60"
"04:20","0","40"
"04:21","0","49"
"04:22","0","98"
"04:23","0","51"
"04:24","0","36"
"04:25","0","21"
"04:26","0","41"
"04:27","0","89"
"04:28","0","16"
"04:29","0","43"
"04:30","0","99"
"04:31","0","50"
"04:32","0","50"
"04:33","0","50"
"04:34","0","50"
"04:35","0","43"
"04:36","0","43"
"04:37","0","47"
"04:38","0","40"
"04:39","0","38"
"04:40","0","38"
"04:41","0","28"
"04:42","0","0"
"04:43","0","23"
"04:44","0","41"
"04:45","0","49"
"04:46","0","51"
"04:47","0","50"
"04:48","0","49"
"04:49","0","49"
"04:50","0","51"
"04:51","0","49"
"04:52","0","50"
"04:53","0","49"
"04:54","0","49"
"04:55","0","49"
"04:56","0","49"
"04:57","0","52"
"04:58","0","49"
"04:59","0","49"
"05:00","0","49"
"05:01","0","49"
"05:02","1","50"
"05:03","0","50"
"05:04","0","51"
"05:05","0","52"
"05:06","0","49"
"05:07","0","49"
"05:08","0","50"
"05:09","0","49"
"05:10","0","49"
"05:11","0","50"
"05:12","0","49"
"05:13","0","49"
"05:14","0","49"
"05:15","0","50"
"05:16","0","49"
"05:17","0","49"
"05:18","0","50"
"05:19","0","49"
"05:20","0","50"
"05:21","0","40"
"05:22","0","42"
"05:23","0","48"
"05:24","0","41"
"05:25","0","42"
"05:26","0","36"
"05:27","0","28"
"05:28","0","5"
"05:29","0","18"
"05:30","0","40"
"05:31","0","21"
"05:32","0","75"
"05:33","0","49"
"05:34","0","40"
"05:35","0","52"
"05:36","0","59"
"05:37","0","49"
"05:38","0","50"
"05:39","0","51"
"05:40","0","52"
"05:41","0","49"
"05:42","0","53"
"05:43","0","50"
"05:44","0","50"
"05:45","0","49"
"05:46","0","50"
"05:47","0","50"
"05:48","0","49"
"05:49","0","49"
"05:50","0","51"
"05:51","0","50"
"05:52","0","50"
"05:53","0","50"
"05:54","0","49"
"05:55","0","51"
"05:56","0","51"
"05:57","0","50"
"05:58","0","50"
"05:59","0","50"
"06:00","0","50"
"06:01","0","79"
"06:02","0","21"
"06:03","0","96"
"06:04","0","49"
"06:05","0","49"
"06:06","0","49"
"06:07","0","40"
"06:08","0","43"
"06:09","0","41"
"06:10","0","39"
"06:11","0","34"
"06:12","0","52"
"06:13","0","31"
"06:14","0","20"
"06:15","0","0"
"06:16","0","41"
"06:17","0","50"
"06:18","0","98"
"06:19","0","47"
"06:20","0","41"
"06:21","0","72"
"06:22","0","49"
"06:23","0","49"
"06:24","0","55"
"06:25","0","50"
"06:26","0","49"
"06:27","0","49"
"06:28","0","49"
"06:29","0","49"
"06:30","0","50"
"06:31","0","51"
"06:32","0","50"
"06:33","0","50"
"06:34","0","52"
"06:35","0","73"
"06:36","0","37"
"06:37","0","84"
"06:38","0","53"
"06:39","0","49"
"06:40","0","49"
"06:41","0","83"
"06:42","0","54"
"06:43","0","59"
"06:44","0","49"
"06:45","0","50"
"06:46","0","82"
"06:47","0","18"
"06:48","0","49"
"06:49","0","50"
"06:50","0","98"
"06:51","0","49"
"06:52","0","23"
"06:53","0","60"
"06:54","0","41"
"06:55","0","47"
"06:56","0","42"
"06:57","0","36"
"06:58","0","49"
"06:59","0","31"
"07:00","0","34"
"07:01","0","32"
"07:02","0","44"
"07:03","0","49"
"07:04","0","49"
"07:05","0","52"
"07:06","0","49"
"07:07","0","51"
"07:08","0","49"
"07:09","0","49"
"07:10","0","53"
"07:11","0","50"
"07:12","0","51"
"07:13","0","72"
"07:14","0","73"
"07:15","0","49"
"07:16","0","51"
"07:17","0","49"
"07:18","0","49"
"07:19","0","70"
"07:20","0","41"
"07:21","0","85"
"07:22","0","48"
"07:23","0","49"
"07:24","0","50"
"07:25","0","56"
"07:26","0","69"
"07:27","0","71"
"07:28","0","49"
"07:29","0","49"
"07:30","0","65"
"07:31","0","61"
"07:32","0","50"
"07:33","0","49"
"07:34","0","49"
"07:35","0","49"
"07:36","0","68"
"07:37","0","79"
"07:38","0","40"
"07:39","0","43"
"07:40","0","41"
"07:41","0","47"
"07:42","0","42"
"07:43","0","36"
"07:44","0","73"
"07:45","0","15"
"07:46","0","27"
"07:47","0","37"
"07:48","0","39"
"07:49","0","49"
"07:50","0","49"
"07:51","0","50"
"07:52","0","49"
"07:53","0","49"
"07:54","0","49"
"07:55","0","51"
"07:56","0","49"
"07:57","0","52"
"07:58","0","49"
"07:59","0","73"
"08:00","0","75"
"08:01","0","49"
"08:02","0","49"
"08:03","0","54"
"08:04","0","49"
"08:05","0","49"
"08:06","0","49"
"08:07","0","49"
"08:08","0","49"
"08:09","0","49"
"08:10","0","49"
"08:11","0","49"
"08:12","0","49"
"08:13","0","60"
"08:14","0","104"
"08:15","0","49"
"08:16","0","51"
"08:17","0","51"
"08:18","0","49"
"08:19","0","59"
"08:20","0","51"
"08:21","0","49"
"08:22","0","49"
"08:23","0","28"
"08:24","0","42"
"08:25","0","41"
"08:26","0","40"
"08:27","0","14"
"08:28","0","47"
"08:29","0","38"
"08:30","0","40"
"08:31","0","35"
"08:32","0","27"
"08:33","0","0"
"08:34","0","33"
"08:35","0","55"
"08:36","0","49"
"08:37","0","49"
"08:38","0","51"
"08:39","0","53"
"08:40","0","49"
"08:41","0","49"
"08:42","0","50"
"08:43","0","49"
"08:44","0","49"
"08:45","0","50"
"08:46","0","51"
"08:47","0","49"
"08:48","0","49"
"08:49","0","49"
"08:50","0","49"
"08:51","0","49"
"08:52","0","51"
"08:53","0","50"
"08:54","0","80"
"08:55","0","56"
"08:56","0","14"
"08:57","0","59"
"08:58","0","88"
"08:59","0","51"
"09:00","0","49"
"09:01","0","49"
"09:02","0","52"
"09:03","0","95"
"09:04","0","59"
"09:05","0","49"
"09:06","0","49"
"09:07","0","49"
"09:08","0","56"
"09:09","0","34"
"09:10","0","42"
"09:11","0","51"
"09:12","0","54"
"09:13","0","41"
"09:14","0","37"
"09:15","0","40"
"09:16","0","41"
"09:17","0","43"
"09:18","0","33"
"09:19","0","33"
"09:20","0","0"
"09:21","0","49"
"09:22","0","53"
"09:23","0","63"
"09:24","0","38"
"09:25","0","48"
"09:26","0","84"
"09:27","0","63"
"09:28","0","49"
"09:29","0","49"
"09:30","0","50"
"09:31","0","50"
"09:32","0","49"
"09:33","0","49"
"09:34","0","49"
"09:35","0","49"
"09:36","0","49"
"09:37","0","50"
"09:38","0","49"
"09:39","0","50"
"09:40","0","50"
"09:41","0","49"
"09:42","0","49"
"09:43","0","50"
"09:44","0","49"
"09:45","0","50"
"09:46","0","49"
"09:47","0","49"
"09:48","0","51"
"09:49","0","100"
"09:50","0","49"
"09:51","0","49"
"09:52","0","50"
"09:53","0","49"
"09:54","0","48"
"09:55","0","42"
"09:56","0","43"
"09:57","0","42"
"09:58","0","52"
"09:59","0","41"
"10:00","0","37"
"10:01","0","40"
"10:02","0","41"
"10:03","0","43"
"10:04","0","82"
"10:05","0","0"
"10:06","0","0"
