"Relative Time","acker:Fail","acker:Pass","acker_showstopper:Fail"
"03:56","21","15","0"
"03:57","0","24","0"
"03:58","39","8","0"
"03:59","45","0","0"
"04:00","31","0","0"
"04:01","48","0","0"
"04:02","47","0","0"
"04:03","49","0","0"
"04:04","48","0","0"
"04:05","76","0","0"
"04:06","49","0","0"
"04:07","42","0","0"
"04:08","38","0","0"
"04:09","40","0","0"
"04:10","49","0","0"
"04:11","76","0","0"
"04:12","41","0","0"
"04:13","60","0","0"
"04:14","49","0","0"
"04:15","51","0","0"
"04:16","49","0","0"
"04:17","51","0","0"
"04:18","49","0","0"
"04:19","56","0","0"
"04:20","44","0","0"
"04:21","49","0","0"
"04:22","98","0","0"
"04:23","51","0","0"
"04:24","31","0","0"
"04:25","22","0","0"
"04:26","45","0","0"
"04:27","87","0","0"
"04:28","13","0","0"
"04:29","48","0","0"
"04:30","99","0","0"
"04:31","50","0","0"
"04:32","50","0","0"
"04:33","50","0","0"
"04:34","50","0","0"
"04:35","43","6","0"
"04:36","43","6","0"
"04:37","47","2","0"
"04:38","40","9","0"
"04:39","38","8","0"
"04:40","38","14","0"
"04:41","28","6","0"
"04:42","0","15","0"
"04:43","23","26","0"
"04:44","41","5","0"
"04:45","49","3","0"
"04:46","51","0","0"
"04:47","50","0","0"
"04:48","49","0","0"
"04:49","49","0","0"
"04:50","51","0","0"
"04:51","49","0","0"
"04:52","50","0","0"
"04:53","49","0","0"
"04:54","49","0","0"
"04:55","49","0","0"
"04:56","49","0","0"
"04:57","52","0","0"
"04:58","49","0","0"
"04:59","49","0","0"
"05:00","49","0","0"
"05:01","49","0","0"
"05:02","50","0","1"
"05:03","50","0","0"
"05:04","51","0","0"
"05:05","52","0","0"
"05:06","49","0","0"
"05:07","49","0","0"
"05:08","50","0","0"
"05:09","49","0","0"
"05:10","49","0","0"
"05:11","50","0","0"
"05:12","49","0","0"
"05:13","49","0","0"
"05:14","49","0","0"
"05:15","50","0","0"
"05:16","49","0","0"
"05:17","49","0","0"
"05:18","50","0","0"
"05:19","49","0","0"
"05:20","50","0","0"
"05:21","40","9","0"
"05:22","42","5","0"
"05:23","48","3","0"
"05:24","41","7","0"
"05:25","42","8","0"
"05:26","36","13","0"
"05:27","28","18","0"
"05:28","3","3","0"
"05:29","20","26","0"
"05:30","40","8","0"
"05:31","21","0","0"
"05:32","75","0","0"
"05:33","49","0","0"
"05:34","40","0","0"
"05:35","45","0","0"
"05:36","66","0","0"
"05:37","49","0","0"
"05:38","50","0","0"
"05:39","51","0","0"
"05:40","52","0","0"
"05:41","49","0","0"
"05:42","53","0","0"
"05:43","50","0","0"
"05:44","50","0","0"
"05:45","49","0","0"
"05:46","50","0","0"
"05:47","50","0","0"
"05:48","49","0","0"
"05:49","49","0","0"
"05:50","51","0","0"
"05:51","50","0","0"
"05:52","50","0","0"
"05:53","50","0","0"
"05:54","49","0","0"
"05:55","51","0","0"
"05:56","51","0","0"
"05:57","50","0","0"
"05:58","50","0","0"
"05:59","50","0","0"
"06:00","50","0","0"
"06:01","70","0","0"
"06:02","29","0","0"
"06:03","97","0","0"
"06:04","49","0","0"
"06:05","49","0","0"
"06:06","49","0","0"
"06:07","40","9","0"
"06:08","43","6","0"
"06:09","41","8","0"
"06:10","39","7","0"
"06:11","34","11","0"
"06:12","52","4","0"
"06:13","31","18","0"
"06:14","20","7","0"
"06:15","0","22","0"
"06:16","41","8","0"
"06:17","50","0","0"
"06:18","98","0","0"
"06:19","47","0","0"
"06:20","41","0","0"
"06:21","72","0","0"
"06:22","49","0","0"
"06:23","49","0","0"
"06:24","55","0","0"
"06:25","50","0","0"
"06:26","49","0","0"
"06:27","49","0","0"
"06:28","49","0","0"
"06:29","49","0","0"
"06:30","50","0","0"
"06:31","51","0","0"
"06:32","50","0","0"
"06:33","50","0","0"
"06:34","51","0","0"
"06:35","72","0","0"
"06:36","39","0","0"
"06:37","84","0","0"
"06:38","53","0","0"
"06:39","49","0","0"
"06:40","49","0","0"
"06:41","83","0","0"
"06:42","54","0","0"
"06:43","59","0","0"
"06:44","49","0","0"
"06:45","50","0","0"
"06:46","74","0","0"
"06:47","26","0","0"
"06:48","49","0","0"
"06:49","50","0","0"
"06:50","98","0","0"
"06:51","49","0","0"
"06:52","23","5","0"
"06:53","60","10","0"
"06:54","41","8","0"
"06:55","47","2","0"
"06:56","42","7","0"
"06:57","36","13","0"
"06:58","49","0","0"
"06:59","31","18","0"
"07:00","34","15","0"
"07:01","32","12","0"
"07:02","44","10","0"
"07:03","49","0","0"
"07:04","49","0","0"
"07:05","52","0","0"
"07:06","49","0","0"
"07:07","51","0","0"
"07:08","49","0","0"
"07:09","49","0","0"
"07:10","53","0","0"
"07:11","50","0","0"
"07:12","51","0","0"
"07:13","72","0","0"
"07:14","73","0","0"
"07:15","49","0","0"
"07:16","51","0","0"
"07:17","49","0","0"
"07:18","49","0","0"
"07:19","58","0","0"
"07:20","50","0","0"
"07:21","88","0","0"
"07:22","48","0","0"
"07:23","49","0","0"
"07:24","50","0","0"
"07:25","56","0","0"
"07:26","69","0","0"
"07:27","71","0","0"
"07:28","49","0","0"
"07:29","49","0","0"
"07:30","65","0","0"
"07:31","61","0","0"
"07:32","50","0","0"
"07:33","49","0","0"
"07:34","49","0","0"
"07:35","49","0","0"
"07:36","60","0","0"
"07:37","87","0","0"
"07:38","40","9","0"
"07:39","43","6","0"
"07:40","41","8","0"
"07:41","47","2","0"
"07:42","42","7","0"
"07:43","36","13","0"
"07:44","70","0","0"
"07:45","18","11","0"
"07:46","27","22","0"
"07:47","37","12","0"
"07:48","39","10","0"
"07:49","49","0","0"
"07:50","49","0","0"
"07:51","50","0","0"
"07:52","49","0","0"
"07:53","49","0","0"
"07:54","49","0","0"
"07:55","51","0","0"
"07:56","49","0","0"
"07:57","52","0","0"
"07:58","49","0","0"
"07:59","66","0","0"
"08:00","82","0","0"
"08:01","49","0","0"
"08:02","49","0","0"
"08:03","54","0","0"
"08:04","49","0","0"
"08:05","49","0","0"
"08:06","49","0","0"
"08:07","49","0","0"
"08:08","49","0","0"
"08:09","49","0","0"
"08:10","49","0","0"
"08:11","49","0","0"
"08:12","49","0","0"
"08:13","59","0","0"
"08:14","105","0","0"
"08:15","49","0","0"
"08:16","51","0","0"
"08:17","51","0","0"
"08:18","49","0","0"
"08:19","59","0","0"
"08:20","51","0","0"
"08:21","49","0","0"
"08:22","49","0","0"
"08:23","28","8","0"
"08:24","42","7","0"
"08:25","41","8","0"
"08:26","38","2","0"
"08:27","16","5","0"
"08:28","47","4","0"
"08:29","38","11","0"
"08:30","40","9","0"
"08:31","35","14","0"
"08:32","27","16","0"
"08:33","0","6","0"
"08:34","33","10","0"
"08:35","55","0","0"
"08:36","49","0","0"
"08:37","49","0","0"
"08:38","51","0","0"
"08:39","53","0","0"
"08:40","49","0","0"
"08:41","49","0","0"
"08:42","50","0","0"
"08:43","49","0","0"
"08:44","49","0","0"
"08:45","50","0","0"
"08:46","51","0","0"
"08:47","49","0","0"
"08:48","49","0","0"
"08:49","49","0","0"
"08:50","49","0","0"
"08:51","49","0","0"
"08:52","51","0","0"
"08:53","50","0","0"
"08:54","74","0","0"
"08:55","55","0","0"
"08:56","21","0","0"
"08:57","55","0","0"
"08:58","92","0","0"
"08:59","51","0","0"
"09:00","49","0","0"
"09:01","49","0","0"
"09:02","52","0","0"
"09:03","95","0","0"
"09:04","59","0","0"
"09:05","49","0","0"
"09:06","49","0","0"
"09:07","49","0","0"
"09:08","56","2","0"
"09:09","34","6","0"
"09:10","42","7","0"
"09:11","51","8","0"
"09:12","54","2","0"
"09:13","41","8","0"
"09:14","37","12","0"
"09:15","40","9","0"
"09:16","41","8","0"
"09:17","43","6","0"
"09:18","33","7","0"
"09:19","33","19","0"
"09:20","0","6","0"
"09:21","49","0","0"
"09:22","53","0","0"
"09:23","59","0","0"
"09:24","41","0","0"
"09:25","49","0","0"
"09:26","76","0","0"
"09:27","71","0","0"
"09:28","49","0","0"
"09:29","49","0","0"
"09:30","50","0","0"
"09:31","50","0","0"
"09:32","49","0","0"
"09:33","48","0","0"
"09:34","50","0","0"
"09:35","49","0","0"
"09:36","49","0","0"
"09:37","50","0","0"
"09:38","49","0","0"
"09:39","50","0","0"
"09:40","50","0","0"
"09:41","49","0","0"
"09:42","49","0","0"
"09:43","50","0","0"
"09:44","49","0","0"
"09:45","50","0","0"
"09:46","49","0","0"
"09:47","49","0","0"
"09:48","51","0","0"
"09:49","100","0","0"
"09:50","49","0","0"
"09:51","49","0","0"
"09:52","50","0","0"
"09:53","49","0","0"
"09:54","48","3","0"
"09:55","42","7","0"
"09:56","43","6","0"
"09:57","42","7","0"
"09:58","52","2","0"
"09:59","41","8","0"
"10:00","37","12","0"
"10:01","40","9","0"
"10:02","41","8","0"
"10:03","43","6","0"
"10:04","82","16","0"
"10:05","0","0","0"
"10:06","0","0","0"
