"Relative Time","acker","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"03:06","1.597","1.597","",""
"03:07","1.609","1.609","",""
"03:08","1.62","1.62","","0"
"03:09","1.617","1.617","",""
"03:10","1.614","1.614","",""
"03:11","1.628","1.629","",""
"03:12","1.624","1.624","",""
"03:13","1.63","1.63","","0"
"03:14","1.649","1.65","",""
"03:15","1.69","1.69","",""
"03:16","1.716","1.717","",""
"03:17","1.665","1.666","",""
"03:18","1.704","1.704","","0"
"03:19","1.701","1.702","",""
"03:20","1.685","1.685","",""
"03:21","1.713","1.713","",""
"03:22","1.703","1.703","",""
"03:23","1.722","1.723","","0"
"03:24","1.719","1.719","",""
"03:25","1.752","1.752","",""
"03:26","1.793","1.794","",""
"03:27","1.789","1.789","",""
"03:28","1.773","1.773","",""
"03:29","1.74","1.74","","0"
"03:30","1.729","1.729","",""
"03:31","1.777","1.778","",""
"03:32","1.813","1.814","",""
"03:33","1.81","1.811","",""
"03:34","1.704","1.704","","0"
"03:35","1.688","1.688","",""
"03:36","1.818","1.818","",""
"03:37","1.824","1.824","",""
"03:38","1.802","1.802","",""
"03:39","1.801","1.801","","0"
"03:40","1.821","1.821","",""
"03:41","1.763","1.763","",""
"03:42","1.743","1.743","",""
"03:43","1.904","1.904","",""
"03:44","1.963","1.964","","0"
"03:45","1.933","1.933","",""
"03:46","1.94","1.94","",""
"03:47","1.961","1.961","",""
"03:48","2.009","2.009","",""
"03:49","1.979","1.979","","0"
"03:50","1.922","1.922","",""
"03:51","1.909","1.909","",""
"03:52","1.921","1.921","",""
"03:53","1.942","1.942","",""
"03:54","1.961","1.962","","0"
"03:55","1.925","1.925","",""
"03:56","1.972","1.973","",""
"03:57","2.029","2.03","",""
"03:58","2.019","2.02","",""
"03:59","2.029","2.029","","0"
"04:00","2.036","2.036","",""
"04:01","2.055","2.055","",""
"04:02","2.073","2.073","",""
"04:03","2.031","2.031","",""
"04:04","2.042","2.042","","0"
"04:05","2.099","2.099","",""
"04:06","2.117","2.118","",""
"04:07","2.088","2.089","",""
"04:08","2.043","2.043","",""
"04:09","2.09","2.091","",""
"04:10","2.122","2.122","",""
"04:11","2.117","2.118","",""
"04:12","2.119","2.119","",""
"04:13","2.07","2.07","",""
"04:14","2.044","2.044","",""
"04:15","2.022","2.022","",""
"04:16","2.037","2.037","",""
"04:17","2.083","2.083","",""
"04:18","2.113","2.114","",""
"04:19","2.081","2.081","",""
"04:20","2.077","2.077","",""
"04:21","2.124","2.124","",""
"04:22","2.149","2.149","",""
"04:23","2.094","2.094","",""
"04:24","2.035","2.035","",""
"04:25","2.065","2.065","",""
"04:26","2.096","2.096","",""
"04:27","2.079","2.079","",""
"04:28","2.069","2.069","",""
"04:29","2.068","2.068","",""
"04:30","2.093","2.094","",""
"04:31","2.104","2.104","",""
"04:32","2.103","2.104","",""
"04:33","2.096","2.096","",""
"04:34","2.105","2.105","",""
"04:35","2.144","2.145","",""
"04:36","2.121","2.121","",""
"04:37","2.082","2.082","",""
"04:38","2.06","2.061","",""
"04:39","2.058","2.059","",""
"04:40","2.085","2.086","",""
"04:41","2.1","2.1","",""
"04:42","2.137","2.137","",""
"04:43","2.118","2.119","",""
"04:44","2.113","2.113","",""
"04:45","2.113","2.113","",""
"04:46","2.091","2.091","",""
"04:47","2.092","2.092","",""
"04:48","2.087","2.088","",""
"04:49","2.084","2.084","",""
"04:50","2.022","2.022","",""
"04:51","2.016","2.017","",""
"04:52","2.076","2.076","",""
"04:53","2.046","2.046","",""
"04:54","2.007","2.007","",""
"04:55","2.019","2.019","",""
"04:56","2.077","2.077","",""
"04:57","2.108","2.108","",""
"04:58","2.087","2.087","",""
"04:59","2.077","2.077","",""
"05:00","2.092","2.093","",""
"05:01","2.098","2.098","",""
"05:02","2.059","2.06","",""
"05:03","2.075","2.075","",""
"05:04","2.097","2.097","",""
"05:05","2.1","2.101","",""
"05:06","2.135","2.135","",""
"05:07","2.137","2.137","",""
"05:08","2.139","2.14","",""
"05:09","2.15","2.15","",""
"05:10","2.125","2.125","",""
"05:11","2.091","2.092","",""
"05:12","2.115","2.115","",""
"05:13","2.101","2.101","",""
"05:14","2.065","2.065","",""
"05:15","2.095","2.096","",""
"05:16","2.105","2.105","",""
"05:17","2.089","2.089","",""
"05:18","2.088","2.088","",""
"05:19","2.071","2.071","",""
"05:20","2.066","2.066","",""
"05:21","2.1","2.1","",""
"05:22","2.074","2.074","",""
"05:23","2.083","2.084","",""
"05:24","2.152","2.153","",""
"05:25","2.131","2.131","",""
"05:26","2.098","2.099","",""
"05:27","2.079","2.079","",""
"05:28","2.05","2.051","",""
"05:29","2.082","2.082","",""
"05:30","2.138","2.138","",""
"05:31","2.119","2.119","",""
"05:32","2.087","2.087","",""
"05:33","2.112","2.113","",""
"05:34","2.126","2.126","",""
"05:35","2.1","2.1","",""
"05:36","2.078","2.078","",""
"05:37","2.078","2.078","",""
"05:38","2.11","2.11","",""
"05:39","2.142","2.142","",""
"05:40","2.131","2.131","",""
"05:41","2.128","2.129","",""
"05:42","2.106","2.107","",""
"05:43","2.078","2.079","",""
"05:44","2.015","2.015","",""
"05:45","1.823","1.823","",""
"05:46","1.87","1.87","",""
"05:47","2.053","2.053","",""
"05:48","1.946","1.946","",""
"05:49","1.898","1.898","",""
"05:50","2.01","2.01","",""
"05:51","2.042","2.042","",""
"05:52","2.12","2.12","",""
"05:53","2.107","2.108","",""
"05:54","2.109","2.109","",""
"05:55","2.157","2.157","",""
"05:56","2.168","2.169","",""
"05:57","2.186","2.186","",""
"05:58","2.216","2.216","",""
"05:59","2.121","2.121","",""
"06:00","1.953","1.953","",""
"06:01","1.932","1.932","",""
"06:02","2.023","2.024","",""
"06:03","2.095","2.095","",""
"06:04","2.118","2.118","",""
"06:05","2.114","2.114","",""
"06:06","2.089","2.09","",""
"06:07","2.11","2.111","",""
"06:08","2.125","2.125","",""
"06:09","2.118","2.118","",""
"06:10","2.105","2.105","",""
"06:11","2.051","2.051","",""
"06:12","2.065","2.065","",""
"06:13","2.095","2.095","",""
"06:14","2.105","2.106","",""
"06:15","2.091","2.091","",""
"06:16","2.038","2.038","",""
"06:17","2.044","2.045","",""
"06:18","2.081","2.081","",""
"06:19","2.106","2.106","",""
"06:20","2.109","2.11","",""
"06:21","2.101","2.101","",""
"06:22","2.116","2.117","",""
"06:23","2.123","2.123","",""
"06:24","2.084","2.084","",""
"06:25","2.078","2.078","",""
"06:26","2.089","2.089","",""
"06:27","2.119","2.12","",""
"06:28","2.153","2.153","",""
"06:29","2.156","2.156","",""
"06:30","2.098","2.098","",""
"06:31","2.1","2.1","",""
"06:32","2.122","2.122","",""
"06:33","2.141","2.141","",""
"06:34","2.147","2.147","",""
"06:35","2.146","2.146","",""
"06:36","2.107","2.107","",""
"06:37","2.082","2.082","",""
"06:38","2.092","2.092","",""
"06:39","2.11","2.11","",""
"06:40","2.082","2.082","",""
"06:41","2.069","2.069","",""
"06:42","2.092","2.093","",""
"06:43","2.126","2.126","",""
"06:44","2.112","2.112","",""
"06:45","2.092","2.093","",""
"06:46","2.098","2.098","",""
"06:47","2.112","2.112","",""
"06:48","2.106","2.106","",""
"06:49","2.087","2.087","",""
"06:50","2.049","2.049","",""
"06:51","2.053","2.053","",""
"06:52","2.093","2.093","",""
"06:53","2.133","2.133","",""
"06:54","2.149","2.149","",""
"06:55","2.133","2.133","",""
"06:56","2.109","2.109","",""
"06:57","2.111","2.111","",""
"06:58","2.111","2.111","",""
"06:59","2.093","2.093","",""
"07:00","2.117","2.117","",""
"07:01","2.115","2.116","",""
"07:02","2.103","2.103","",""
"07:03","2.106","2.106","",""
"07:04","2.109","2.109","",""
"07:05","2.117","2.117","",""
"07:06","2.102","2.102","",""
"07:07","2.04","2.04","",""
"07:08","2.033","2.033","",""
"07:09","2.083","2.083","",""
"07:10","2.101","2.101","",""
"07:11","2.114","2.114","",""
"07:12","2.111","2.111","",""
"07:13","2.085","2.085","",""
"07:14","2.093","2.094","",""
"07:15","2.097","2.097","",""
"07:16","2.087","2.087","",""
"07:17","2.109","2.109","",""
"07:18","2.112","2.112","",""
"07:19","2.079","2.079","",""
"07:20","2.043","2.043","",""
"07:21","2.062","2.062","",""
"07:22","2.088","2.088","",""
"07:23","2.1","2.1","",""
"07:24","2.123","2.123","",""
"07:25","2.144","2.144","",""
"07:26","2.172","2.172","",""
"07:27","2.161","2.161","",""
"07:28","2.099","2.099","",""
"07:29","2.094","2.094","",""
"07:30","2.134","2.134","",""
"07:31","2.158","2.158","",""
"07:32","2.116","2.117","",""
"07:33","2.096","2.096","",""
"07:34","2.147","2.147","",""
"07:35","2.161","2.161","",""
"07:36","2.132","2.132","",""
"07:37","2.082","2.082","",""
"07:38","2.057","2.057","",""
"07:39","2.077","2.077","",""
"07:40","2.079","2.079","",""
"07:41","2.097","2.097","",""
"07:42","2.068","2.068","",""
"07:43","2.05","2.05","",""
"07:44","2.073","2.073","",""
"07:45","2.086","2.086","",""
"07:46","2.071","2.072","",""
"07:47","2.077","2.077","",""
"07:48","2.116","2.117","",""
"07:49","2.09","2.09","",""
"07:50","2.073","2.073","",""
"07:51","2.13","2.13","",""
"07:52","2.151","2.151","",""
"07:53","2.104","2.104","",""
"07:54","2.097","2.097","",""
"07:55","2.125","2.125","",""
"07:56","2.113","2.114","",""
"07:57","2.108","2.108","",""
"07:58","2.113","2.114","",""
"07:59","2.11","2.11","",""
"08:00","2.103","2.103","",""
"08:01","2.101","2.101","",""
"08:02","2.088","2.088","",""
"08:03","2.097","2.097","",""
"08:04","2.122","2.122","",""
"08:05","2.094","2.094","",""
"08:06","2.089","2.089","",""
"08:07","2.146","2.147","",""
"08:08","2.129","2.129","",""
"08:09","2.093","2.093","",""
"08:10","2.096","2.097","",""
"08:11","2.098","2.098","",""
"08:12","2.098","2.098","",""
"08:13","2.091","2.091","",""
"08:14","2.081","2.082","",""
"08:15","2.025","2.026","",""
"08:16","2.013","2.013","",""
"08:17","2.097","2.097","",""
"08:18","2.14","2.14","",""
"08:19","2.112","2.112","",""
"08:20","2.091","2.092","",""
"08:21","2.097","2.097","",""
"08:22","2.099","2.099","",""
"08:23","2.127","2.127","",""
"08:24","2.122","2.123","",""
"08:25","2.073","2.074","",""
"08:26","2.086","2.087","",""
"08:27","2.143","2.143","",""
"08:28","2.138","2.138","",""
"08:29","2.085","2.086","",""
"08:30","2.081","2.082","",""
"08:31","2.11","2.11","",""
"08:32","2.127","2.127","",""
"08:33","2.113","2.113","",""
"08:34","2.086","2.087","",""
"08:35","2.074","2.075","",""
"08:36","2.087","2.087","",""
"08:37","2.164","2.164","",""
"08:38","2.128","2.128","",""
"08:39","2.031","2.031","",""
"08:40","2.046","2.047","",""
"08:41","2.088","2.088","",""
"08:42","2.107","2.108","",""
"08:43","2.103","2.103","",""
"08:44","2.113","2.113","",""
"08:45","2.118","2.119","",""
"08:46","2.138","2.138","",""
"08:47","2.103","2.104","",""
"08:48","2.075","2.075","",""
"08:49","2.1","2.101","",""
"08:50","2.082","2.082","",""
"08:51","2.105","2.105","",""
"08:52","2.061","2.061","",""
"08:53","2.062","2.062","",""
"08:54","2.168","2.168","",""
"08:55","2.129","2.129","",""
"08:56","2.103","2.104","",""
"08:57","2.151","2.151","",""
"08:58","2.14","2.14","",""
"08:59","2.103","2.103","",""
"09:00","2.119","2.119","",""
"09:01","2.099","2.099","",""
"09:02","2.113","2.113","",""
"09:03","2.117","2.117","",""
"09:04","2.084","2.085","",""
"09:05","2.072","2.072","",""
"09:06","2.082","2.082","",""
"09:07","2.094","2.094","",""
"09:08","1.939","1.939","",""
"09:09","1.864","1.864","",""
"09:10","1.998","1.998","",""
"09:11","2.1","2.1","",""
"09:12","2.062","2.063","",""
"09:13","2.051","2.052","",""
"09:14","2.078","2.078","",""
"09:15","2.075","2.075","",""
"09:16","2.078","2.078","",""
"09:17","2.068","2.068","",""
"09:18","2.054","2.054","",""
"09:19","2.047","2.048","",""
"09:20","2.057","2.058","",""
"09:21","2.085","2.085","",""
"09:22","2.11","2.111","",""
"09:23","2.115","2.116","",""
"09:24","2.154","2.155","",""
"09:25","2.17","2.17","",""
"09:26","2.127","2.127","",""
"09:27","2.143","2.143","",""
"09:28","2.155","2.156","",""
"09:29","2.142","2.143","",""
"09:30","2.135","2.135","",""
"09:31","2.076","2.076","",""
"09:32","2.077","2.077","",""
"09:33","2.113","2.114","",""
"09:34","2.11","2.11","",""
"09:35","2.098","2.098","",""
"09:36","2.102","2.102","",""
"09:37","2.096","2.096","",""
"09:38","2.116","2.116","",""
"09:39","2.148","2.148","",""
"09:40","2.147","2.147","",""
"09:41","2.134","2.134","",""
"09:42","2.118","2.118","",""
"09:43","2.106","2.106","",""
"09:44","2.11","2.111","",""
"09:45","2.083","2.083","",""
"09:46","2.057","2.058","",""
"09:47","2.087","2.088","",""
"09:48","2.146","2.146","",""
"09:49","2.15","2.15","",""
"09:50","2.06","2.061","",""
"09:51","2.054","2.054","",""
"09:52","2.135","2.135","",""
"09:53","2.148","2.148","",""
"09:54","2.103","2.103","",""
"09:55","2.117","2.117","",""
"09:56","2.117","2.117","",""
"09:57","2.095","2.096","",""
"09:58","2.118","2.119","",""
"09:59","2.124","2.125","",""
"10:00","2.106","2.106","",""
"10:01","2.062","2.062","","0"
"10:02","2.022","2.022","",""
"10:03","2.025","2.026","",""
"10:09","8.235","8.236","",""
"10:10","8.56","8.56","",""
"10:35","34.155","34.155","",""
"10:36","34.542","34.542","",""
"11:01","59.72","59.72","",""
"11:02","60.634","60.635","",""
"11:26","84.396","84.396","",""
"11:27","85.29","85.29","",""
"11:28","86.013","86.014","",""
"11:51","109.234","109.234","",""
"11:52","110.228","110.228","",""
"11:53","111.232","111.233","",""
"12:01","","","0",""
"13:05","72.614","72.614","",""
"13:06","60.767","60.767","",""
"13:07","6.398","6.399","",""
"13:08","2.096","2.096","",""
"13:09","1.912","1.912","",""
"13:10","1.91","1.91","",""
"13:11","2.063","2.063","",""
"13:12","2.056","2.057","",""
"13:13","2.079","2.079","",""
"13:14","2.094","2.095","",""
"13:15","2.119","2.119","",""
"13:16","2.163","2.163","",""
"13:17","2.179","2.18","",""
"13:18","2.136","2.137","",""
"13:19","2.098","2.098","",""
"13:20","2.082","2.082","",""
"13:21","2.104","2.105","",""
"13:22","2.143","2.143","",""
"13:23","2.157","2.157","",""
"13:24","2.122","2.122","",""
"13:25","2.093","2.093","",""
"13:26","2.106","2.106","",""
"13:27","2.116","2.117","",""
"13:28","2.088","2.088","",""
"13:29","2.108","2.109","",""
"13:30","2.159","2.159","",""
"13:31","2.142","2.143","",""
"13:32","2.11","2.11","",""
"13:33","2.064","2.064","",""
"13:34","2.067","2.067","",""
"13:35","2.09","2.091","",""
"13:36","2.073","2.074","",""
"13:37","2.077","2.077","",""
"13:38","2.099","2.099","",""
"13:39","2.113","2.113","",""
"13:40","2.119","2.12","",""
"13:41","2.145","2.146","",""
"13:42","2.12","2.121","",""
"13:43","2.07","2.07","",""
"13:44","2.072","2.072","",""
"13:45","2.088","2.088","",""
"13:46","2.083","2.083","",""
"13:47","2.086","2.086","",""
"13:48","2.052","2.053","",""
"13:49","1.96","1.96","",""
"13:50","1.971","1.972","",""
"13:51","2.075","2.076","",""
"13:52","2.101","2.101","",""
"13:53","2.075","2.075","",""
"13:54","2.09","2.091","",""
"13:55","2.093","2.093","",""
"13:56","2.072","2.072","",""
"13:57","2.081","2.081","",""
"13:58","2.1","2.1","",""
"13:59","2.111","2.111","",""
"14:00","2.076","2.076","",""
"14:01","2.068","2.068","",""
"14:02","2.052","2.052","",""
"14:03","2.078","2.078","",""
"14:04","2.147","2.147","",""
"14:05","2.152","2.153","",""
"14:06","2.119","2.119","",""
"14:07","2.126","2.126","",""
"14:08","2.099","2.099","",""
"14:09","2.065","2.065","",""
"14:10","2.073","2.073","",""
"14:11","2.082","2.082","",""
"14:12","2.078","2.079","",""
"14:13","2.081","2.081","",""
"14:14","2.103","2.103","",""
"14:15","2.124","2.124","",""
"14:16","2.126","2.126","",""
"14:17","2.111","2.111","",""
"14:18","2.109","2.109","",""
"14:19","2.122","2.122","",""
"14:20","2.111","2.111","",""
"14:21","2.108","2.108","",""
"14:22","2.075","2.075","",""
"14:23","2.068","2.068","",""
"14:24","2.089","2.089","",""
"14:25","2.091","2.091","",""
"14:26","2.072","2.073","",""
"14:27","2.058","2.058","",""
"14:28","2.1","2.101","",""
"14:29","2.077","2.078","",""
"14:30","2.103","2.103","",""
"14:31","2.162","2.163","",""
"14:32","2.156","2.156","",""
"14:33","2.133","2.133","",""
"14:34","2.102","2.103","",""
"14:35","2.112","2.112","",""
"14:36","2.103","2.103","",""
"14:37","2.092","2.092","",""
"14:38","2.093","2.093","",""
"14:39","2.109","2.11","",""
"14:40","2.087","2.088","",""
"14:41","2.043","2.044","",""
"14:42","2.062","2.063","",""
"14:43","2.117","2.117","",""
"14:44","2.124","2.124","",""
"14:45","2.117","2.117","",""
"14:46","2.122","2.122","",""
"14:47","2.126","2.126","",""
"14:48","2.125","2.125","",""
"14:49","2.087","2.088","",""
"14:50","2.101","2.101","",""
"14:51","2.135","2.136","",""
"14:52","2.156","2.157","",""
"14:53","2.14","2.14","",""
"14:54","2.078","2.078","",""
"14:55","2.077","2.077","",""
"14:56","2.107","2.108","",""
"14:57","2.112","2.112","",""
"14:58","2.086","2.087","",""
"14:59","2.068","2.068","",""
"15:00","2.082","2.082","",""
"15:01","2.103","2.103","",""
"15:02","2.097","2.097","",""
"15:03","2.1","2.1","",""
"15:04","2.088","2.089","",""
"15:05","2.086","2.086","",""
"15:06","2.099","2.099","",""
"15:07","2.123","2.123","",""
"15:08","2.132","2.132","",""
"15:09","2.109","2.109","",""
"15:10","2.122","2.122","",""
"15:11","2.134","2.134","",""
"15:12","2.105","2.105","",""
"15:13","2.108","2.109","",""
"15:14","2.134","2.135","",""
"15:15","2.128","2.128","",""
"15:16","2.106","2.106","",""
"15:17","2.037","2.038","",""
"15:18","1.953","1.953","",""
"15:19","1.991","1.991","",""
"15:20","2.025","2.025","",""
"15:21","2.024","2.024","",""
"15:22","1.984","1.984","",""
"15:23","1.953","1.953","",""
"15:24","2.02","2.02","",""
"15:25","2.092","2.092","",""
"15:26","2.112","2.113","",""
"15:27","2.087","2.087","",""
"15:28","2.089","2.089","",""
"15:29","2.082","2.082","",""
"15:30","2.095","2.095","",""
"15:31","2.107","2.108","",""
"15:32","2.084","2.084","",""
"15:33","2.094","2.094","",""
"15:34","2.093","2.093","",""
"15:35","2.055","2.055","",""
"15:36","2.043","2.043","",""
"15:37","2.065","2.065","",""
"15:38","2.075","2.076","",""
"15:39","2.062","2.062","",""
"15:40","2.063","2.063","",""
"15:41","2.098","2.098","",""
"15:42","1.964","1.964","",""
"15:43","1.886","1.886","",""
"15:44","2.069","2.069","",""
"15:45","2.086","2.086","",""
"15:46","2.038","2.039","",""
"15:47","2.049","2.049","",""
"15:48","2.023","2.024","",""
"15:49","2.026","2.026","",""
"15:50","2.062","2.062","",""
"15:51","2.025","2.025","",""
"15:52","2.021","2.022","",""
"15:53","2.084","2.084","",""
"15:54","2.113","2.113","",""
"15:55","2.124","2.124","",""
"15:56","2.127","2.127","",""
"15:57","2.147","2.147","",""
"15:58","2.141","2.141","",""
"15:59","2.078","2.078","",""
"16:00","2.072","2.072","",""
"16:01","2.103","2.103","",""
"16:02","2.089","2.089","",""
"16:03","2.081","2.081","",""
"16:04","2.137","2.137","",""
"16:05","2.137","2.137","",""
"16:06","2.113","2.113","",""
"16:07","2.108","2.108","",""
"16:08","2.132","2.132","",""
"16:09","2.106","2.106","",""
"16:10","2.058","2.058","",""
"16:11","2.088","2.088","",""
"16:12","2.057","2.057","",""
"16:13","1.962","1.962","",""
"16:14","1.984","1.984","",""
"16:15","2.064","2.064","",""
"16:16","2.08","2.08","",""
"16:17","2.096","2.096","",""
"16:18","2.109","2.109","",""
"16:19","2.08","2.081","",""
"16:20","2.033","2.033","",""
"16:21","2.05","2.051","",""
"16:22","2.108","2.109","",""
"16:23","2.115","2.115","",""
"16:24","2.104","2.104","",""
"16:25","2.129","2.129","",""
"16:26","2.119","2.12","",""
"16:27","2.077","2.077","",""
"16:28","2.074","2.075","",""
"16:29","2.085","2.086","",""
"16:30","2.087","2.087","",""
"16:31","2.116","2.116","",""
"16:32","2.131","2.132","",""
"16:33","2.137","2.137","",""
"16:34","2.105","2.106","",""
"16:35","2.07","2.07","",""
"16:36","2.051","2.051","",""
"16:37","2.017","2.017","",""
"16:38","2.046","2.047","",""
"16:39","2.081","2.081","",""
"16:40","2.096","2.096","",""
"16:41","2.084","2.084","",""
"16:42","2.082","2.082","",""
"16:43","2.101","2.101","",""
"16:44","2.098","2.098","",""
"16:45","2.114","2.115","",""
"16:46","2.144","2.144","",""
"16:47","2.157","2.157","",""
"16:48","2.142","2.143","",""
"16:49","2.153","2.154","",""
"16:50","2.077","2.077","",""
"16:51","2.007","2.007","",""
"16:52","1.989","1.989","",""
"16:53","2.007","2.007","",""
"16:54","2.052","2.052","",""
"16:55","2.071","2.071","",""
"16:56","2.055","2.056","",""
"16:57","2.084","2.084","",""
"16:58","2.126","2.126","",""
"16:59","2.108","2.108","",""
"17:00","2.081","2.081","",""
"17:01","2.085","2.085","",""
"17:02","2.11","2.11","",""
"17:03","2.082","2.082","",""
"17:04","2.022","2.023","",""
"17:05","2.03","2.03","",""
"17:06","2.077","2.078","",""
"17:07","2.108","2.109","",""
"17:08","2.101","2.101","",""
"17:09","2.094","2.094","",""
"17:10","2.095","2.096","",""
"17:11","2.073","2.073","",""
"17:12","2.063","2.064","",""
"17:13","2.066","2.067","",""
"17:14","1.983","1.983","",""
"17:15","1.994","1.994","",""
