"Relative Time","acker","acker_showstopper"
"02:14","0.562",""
"02:15","0.595",""
"02:16","0.538",""
"02:17","0.562",""
"02:18","0.579",""
"02:19","0.582",""
"02:20","0.592",""
"02:21","0.562",""
"02:22","0.581",""
"02:23","0.588",""
"02:24","0.603",""
"02:25","0.604",""
"02:26","0.608",""
"02:27","0.611",""
"02:28","0.657",""
"02:29","0.624",""
"02:30","0.624",""
"02:31","0.624",""
"02:32","0.624",""
"02:33","0.635",""
"02:34","0.645",""
"02:35","0.637",""
"02:36","0.59",""
"02:37","0.643",""
"02:38","0.655",""
"02:39","0.665",""
"02:40","0.666",""
"02:41","0.673",""
"02:42","0.664",""
"02:43","0.691",""
"02:44","0.684",""
"02:45","0.681",""
"02:46","0.658",""
"02:47","0.689",""
"02:48","0.705",""
"02:49","0.693",""
"02:50","0.707",""
"02:51","0.706",""
"02:52","0.709",""
"02:53","0.717",""
"02:54","0.744",""
"02:55","0.73",""
"02:56","0.728",""
"02:57","0.728",""
"02:58","0.73",""
"02:59","0.749",""
"03:00","0.749",""
"03:01","0.749",""
"03:02","0.749",""
"03:03","0.749",""
"03:04","0.77",""
"03:05","0.77",""
"03:06","0.772",""
"03:07","0.776",""
"03:08","0.77",""
"03:09","0.789",""
"03:10","0.79",""
"03:11","0.759",""
"03:12","0.775",""
"03:13","0.79",""
"03:14","0.807",""
"03:15","0.824",""
"03:16","0.814",""
"03:17","0.868",""
"03:18","0.829",""
"03:19","0.818",""
"03:20","0.832",""
"03:21","0.832",""
"03:22","0.818",""
"03:23","0.829",""
"03:24","0.794",""
"03:25","0.866",""
"03:26","0.86",""
"03:27","0.856",""
"03:28","0.862",""
"03:29","0.862",""
"03:30","0.866",""
"03:31","0.882",""
"03:32","0.874",""
"03:33","0.873",""
"03:34","0.882",""
"03:35","0.877",""
"03:36","0.892",""
"03:37","0.936",""
"03:38","0.897",""
"03:39","0.9",""
"03:40","0.879",""
"03:41","0.914",""
"03:42","0.89",""
"03:43","0.887",""
"03:44","0.895",""
"03:45","0.922",""
"03:46","0.929",""
"03:47","0.956",""
"03:48","0.939",""
"03:49","0.939",""
"03:50","0.957",""
"03:51","0.957",""
"03:52","0.969",""
"03:53","0.964",""
"03:54","0.94",""
"03:55","0.972",""
"03:56","0.964",""
"03:57","0.976",""
"03:58","0.988",""
"03:59","0.962",""
"04:00","0.992",""
"04:01","1.046",""
"04:02","0.998",""
"04:03","0.996",""
"04:04","0.974",""
"04:05","0.975",""
"04:06","1.006",""
"04:07","1.013",""
"04:08","1.005",""
"04:09","1.026",""
"04:10","1.022",""
"04:11","1.05",""
"04:12","1.08",""
"04:13","1.017",""
"04:14","0.96",""
"04:15","0.998",""
"04:16","1.048",""
"04:17","1.007",""
"04:18","1.015",""
"04:19","1.031",""
"04:20","1.023",""
"04:21","1.005",""
"04:22","1.007",""
"04:23","1.016",""
"04:24","1.019",""
"04:25","1.02",""
"04:26","1.008",""
"04:27","1.021",""
"04:28","1.019",""
"04:29","1.019",""
"04:30","0.995",""
"04:31","0.999",""
"04:32","1.014",""
"04:33","1.064",""
"04:34","1.049",""
"04:35","1.024",""
"04:36","1.009",""
"04:37","1.008",""
"04:38","1.013",""
"04:39","1.057",""
"04:40","1.037",""
"04:41","1.018",""
"04:42","1.035",""
"04:43","1.026",""
"04:44","1.056",""
"04:45","1.03",""
"04:46","1.019",""
"04:47","1.018",""
"04:48","1.054",""
"04:49","1.019",""
"04:50","1.036",""
"04:51","1.029",""
"04:52","1.039",""
"04:53","1.033",""
"04:54","1.02",""
"04:55","1.02",""
"04:56","1.02",""
"04:57","1.02",""
"04:58","1.014",""
"04:59","1.005",""
"05:00","1.02",""
"05:01","1.005",""
"05:02","0.993",""
"05:03","1.019",""
"05:04","1.043",""
"05:05","1.055",""
"05:06","1.046",""
"05:07","0.988",""
"05:08","0.951",""
"05:09","1.02",""
"05:10","1.018",""
"05:11","0.979",""
"05:12","1.018",""
"05:13","1.005",""
"05:14","1.006",""
"05:15","1.041",""
"05:16","1.019",""
"05:17","1.017",""
"05:18","1.016",""
"05:19","1.016",""
"05:20","1.012",""
"05:21","1.007",""
"05:22","1.02",""
"05:23","1.053",""
"05:24","1.015",""
"05:25","1.023",""
"05:26","1.01",""
"05:27","1.01",""
"05:28","1.04",""
"05:29","1.019",""
"05:30","1.007",""
"05:31","1.016",""
"05:32","1",""
"05:33","1.015",""
"05:34","1.019",""
"05:35","1.02",""
"05:36","1.019",""
"05:37","1.002",""
"05:38","1.014",""
"05:39","1.039",""
"05:40","1.017",""
"05:41","0.995",""
"05:42","1.02",""
"05:43","1.019",""
"05:44","1.038",""
"05:45","1.047",""
"05:46","1.015",""
"05:47","1.017",""
"05:48","1.026",""
"05:49","0.989",""
"05:50","1.011",""
"05:51","0.989",""
"05:52","0.951",""
"05:53","0.997",""
"05:54","1.019",""
"05:55","0.995",""
"05:56","1.004",""
"05:57","1.02",""
"05:58","1.02",""
"05:59","1.02",""
"06:00","1.02",""
"06:01","1.02",""
"06:02","1.026",""
"06:03","1.035",""
"06:04","1.02",""
"06:05","0.97",""
"06:06","1.009",""
"06:07","1.019",""
"06:08","1.019",""
"06:09","1.061",""
"06:10","1.014",""
"06:11","1.023",""
"06:12","1.035",""
"06:13","1.06",""
"06:14","1.044",""
"06:15","1.003",""
"06:16","1.019",""
"06:17","1.02",""
"06:18","1.02",""
"06:19","1.02",""
"06:20","1.015",""
"06:21","1.004",""
"06:22","1.018",""
"06:23","1.053",""
"06:24","0.988",""
"06:25","1.012",""
"06:26","1.02",""
"06:27","1.018",""
"06:28","1.032",""
"06:29","1.02",""
"06:30","1.02",""
"06:31","1.019",""
"06:32","1.02",""
"06:33","1.055",""
"06:34","1.07",""
"06:35","1.013",""
"06:36","1",""
"06:37","1.03",""
"06:38","1.022",""
"06:39","1.02",""
"06:40","1.02",""
"06:41","1.018",""
"06:42","1.021",""
"06:43","1.02",""
"06:44","0.97",""
"06:45","1.009",""
"06:46","1.02",""
"06:47","1.02",""
"06:48","1.02",""
"06:49","0.985",""
"06:50","1.014",""
"06:51","1.02",""
"06:52","0.998",""
"06:53","0.999",""
"06:54","1.025",""
"06:55","1.025",""
"06:56","1.02",""
"06:57","0.999",""
"06:58","1.02",""
"06:59","1.023",""
"07:00","1.039",""
"07:01","0.99",""
"07:02","0.992",""
"07:03","1.014",""
"07:04","1.017",""
"07:05","1.028",""
"07:06","1.081",""
"07:07","1.019",""
"07:08","1.019",""
"07:09","1",""
"07:10","1.018",""
"07:11","1.021",""
"07:12","1.019",""
"07:13","1.029",""
"07:14","1.052",""
"07:15","0.95",""
"07:16","1.009",""
"07:17","1.018",""
"07:18","1.039",""
"07:19","1.003",""
"07:20","1.02",""
"07:21","1.02",""
"07:22","1.019",""
"07:23","1.018",""
"07:24","1.027",""
"07:25","1.013",""
"07:26","1.021",""
"07:27","1",""
"07:28","1.019",""
"07:29","1.02",""
"07:30","1.003",""
"07:31","0.976",""
"07:32","0.978",""
"07:33","1.019",""
"07:34","1.018",""
"07:35","1.018",""
"07:36","1.013",""
"07:37","1.002",""
"07:38","1.015",""
"07:39","1.021",""
"07:40","1.02",""
"07:41","1.015",""
"07:42","0.983",""
"07:43","1.02",""
"07:44","1.02",""
"07:45","1.02",""
"07:46","1.015",""
"07:47","1.025",""
"07:48","1.006",""
"07:49","1.012",""
"07:50","1.02",""
"07:51","1.005",""
"07:52","1.014",""
"07:53","1.02",""
"07:54","1.019",""
"07:55","0.998",""
"07:56","1.047",""
"07:57","1.061",""
"07:58","0.988",""
"07:59","1.007",""
"08:00","1.054",""
"08:01","1.019",""
"08:02","1.002",""
"08:03","1.019",""
"08:04","1.031",""
"08:05","1.058",""
"08:06","1.004",""
"08:07","1.018",""
"08:08","1.026",""
"08:09","1.017",""
"08:10","1.012",""
"08:11","1.006",""
"08:12","1.014",""
"08:13","0.987",""
"08:14","1.035",""
"08:15","1.002",""
"08:16","1.001",""
"08:17","0.972",""
"08:18","1.004",""
"08:19","1.025",""
"08:20","1.013",""
"08:21","1.001",""
"08:22","1.016",""
"08:23","1.063",""
"08:24","1.026",""
"08:25","1.02",""
"08:26","1.02",""
"08:27","0.999",""
"08:28","1.021",""
"08:29","1.017",""
"08:30","1.021",""
"08:31","1.02",""
"08:32","1.02",""
"08:33","1.008",""
"08:34","1.011",""
"08:35","1.02",""
"08:36","1.02",""
"08:37","1.02",""
"08:38","1.021",""
"08:39","1.019",""
"08:40","1.02",""
"08:41","1.016",""
"08:42","1.001",""
"08:43","1.021",""
"08:44","1.02",""
"08:45","1.015",""
"08:46","1.003",""
"08:47","1.02",""
"08:48","1.008",""
"08:49","1.004",""
"08:50","1.007",""
"08:51","1.019",""
"08:52","1.018",""
"08:53","1.054",""
"08:54","1.031",""
"08:55","1.019",""
"08:56","1.019",""
"08:57","1.022",""
"08:58","1.063",""
"08:59","1.007",""
"09:00","1.019",""
"09:01","1.02",""
"09:02","1.016",""
"09:03","1.017",""
"09:04","1.005",""
"09:05","1.02",""
"09:06","1.026",""
"09:07","1.017",""
"09:08","0.966",""
"09:09","1.007",""
"09:10","1.044",""
"09:11","1.008",""
"09:12","1.045",""
"09:13","1.048",""
"09:14","1.021",""
"09:15","1.006",""
"09:16","1.013",""
"09:17","1.025",""
"09:18","0.994",""
"09:19","1.02",""
"09:20","1.035",""
"09:21","1.026",""
"09:22","1.02",""
"09:23","1.02",""
"09:24","1.02",""
"09:25","1.02",""
"09:26","1.02",""
"09:27","0.989",""
"09:28","0.969",""
"09:29","0.995",""
"09:30","0.961",""
"09:31","0.988",""
"09:32","1.012",""
"09:33","1.02",""
"09:34","1.02",""
"09:35","0.99",""
"09:36","1.008",""
"09:37","1.039",""
"09:38","1.078",""
"09:39","1.019",""
"09:40","1.02",""
"09:41","1.018",""
"09:42","1.021",""
"09:43","1.016",""
"09:44","1.021",""
"09:45","1.058",""
"09:46","1.039",""
"09:47","1.02",""
"09:48","1.02",""
"09:49","1.02",""
"09:50","1.03",""
"09:51","1.042",""
"09:52","1.019",""
"09:53","1.02",""
"09:54","1.021",""
"09:55","1.036",""
"09:56","1.035",""
"09:57","1.02",""
"09:58","1.02",""
"09:59","1.02",""
"10:00","1.029",""
"10:01","0.971",""
"10:02","1.032","0.977"
"10:03","1.024",""
"10:04","1.026",""
"10:05","0.993",""
"10:06","1.014",""
"10:07","0.999",""
"10:08","1.02",""
"10:09","1.026",""
"10:10","1.013",""
"10:11","1.018",""
"10:12","1.023",""
"10:13","1.008",""
"10:14","1.01",""
"10:15","1.02",""
"10:16","1.036",""
"10:17","0.977",""
"10:18","1.021",""
"10:19","1.019",""
"10:20","1.021",""
"10:21","1.02",""
"10:22","1.019",""
"10:23","1.027",""
"10:24","1.024",""
"10:25","1.02",""
"10:26","1.018",""
"10:27","1.018",""
"10:28","1.011",""
"10:29","0.989",""
"10:30","1.02",""
"10:31","1.025",""
"10:32","1.016",""
"10:33","1.01",""
"10:34","1.008",""
"10:35","1.02",""
"10:36","1.018",""
"10:37","1.075",""
"10:38","1.022",""
"10:39","1.018",""
"10:40","1.036",""
"10:41","1.079",""
"10:42","0.975",""
"10:43","1.017",""
"10:44","1.002",""
"10:45","1.019",""
"10:46","1.02",""
"10:47","1.019",""
"10:48","1.018",""
"10:49","1.088",""
"10:50","1.035",""
"10:51","1.02",""
"10:52","1.003",""
"10:53","1.055",""
"10:54","1.025",""
"10:55","1.019",""
"10:56","1.02",""
"10:57","1.02",""
"10:58","1.02",""
"10:59","1.02",""
"11:00","1.02",""
"11:01","1.02",""
"11:02","1.02",""
"11:03","0.963",""
"11:04","1.014",""
"11:05","1.05",""
"11:06","1.036",""
"11:07","1.002",""
"11:08","0.969",""
"11:09","1.006",""
"11:10","1.02",""
"11:11","1.02",""
"11:12","1.018",""
"11:13","1.048",""
"11:14","1.026",""
"11:15","1.02",""
"11:16","1.006",""
"11:17","1.011",""
"11:18","1.014",""
"11:19","1.016",""
"11:20","1.02",""
"11:21","1.007",""
"11:22","1.01",""
"11:23","1.043",""
"11:24","1.017",""
"11:25","0.995",""
"11:26","0.997",""
"11:27","1.018",""
"11:28","1.071",""
"11:29","1.058",""
"11:30","1.035",""
"11:31","1.019",""
"11:32","1.014",""
"11:33","1.037",""
"11:34","0.988",""
"11:35","0.999",""
"11:36","1.02",""
"11:37","1.018",""
"11:38","1.005",""
"11:39","1.011",""
"11:40","0.998",""
"11:41","0.971",""
"11:42","1.012",""
"11:43","1.02",""
"11:44","1.02",""
"11:45","1.02",""
"11:46","1.02",""
"11:47","1.03",""
"11:48","1.02",""
"11:49","1.018",""
"11:50","1.02",""
"11:51","1.078",""
"11:52","1.029",""
"11:53","1.018",""
"11:54","1.06",""
"11:55","0.973",""
"11:56","0.987",""
"11:57","0.99",""
"11:58","1.02",""
"11:59","1.001",""
"12:00","1.017",""
"12:01","1.02",""
"12:02","1.018",""
"12:03","1.03",""
"12:04","1.039",""
"12:05","0.995",""
"12:06","1.007",""
"12:07","1.018",""
"12:08","1.047",""
"12:09","1.016",""
"12:10","1.02",""
"12:11","1.116",""
"12:12","1.06",""
"12:13","1.049",""
"12:14","1.024",""
"12:15","1.034",""
"12:16","1.019",""
"12:17","1.017",""
"12:18","1.058",""
"12:19","1.006",""
"12:20","1.014",""
"12:21","0.984",""
"12:22","1.018",""
"12:23","1.081",""
"12:24","1.041",""
"12:25","1.041",""
"12:26","1.019",""
"12:27","1.02",""
"12:28","1.018",""
"12:29","1.015",""
"12:30","1.016",""
"12:31","1.003",""
"12:32","1.019",""
"12:33","1.082",""
"12:34","1.042",""
"12:35","1.025",""
"12:36","1.075",""
"12:37","0.994",""
"12:38","0.988",""
"12:39","0.992",""
"12:40","1.04",""
"12:41","0.975",""
"12:42","1.019",""
"12:43","1.044",""
"12:44","1.05",""
"12:45","1.018",""
"12:46","1.033",""
"12:47","0.998",""
"12:48","1.021",""
"12:49","1.02",""
"12:50","1.002",""
"12:51","1.015",""
"12:52","1.059",""
"12:53","0.993",""
"12:54","1.013",""
"12:55","1.02",""
"12:56","1.018",""
"12:57","1",""
"12:58","1.013",""
"12:59","1.076",""
"13:00","1.027",""
"13:01","0.984",""
"13:02","1.043",""
"13:03","1.038",""
"13:04","1.035",""
"13:05","1.022",""
"13:06","1.024",""
"13:07","1.011",""
"13:08","0.976",""
"13:09","0.994",""
"13:10","1.047",""
"13:11","1.051",""
"13:12","0.998",""
"13:13","1.032",""
"13:14","1.005",""
"13:15","1.051",""
"13:16","1.006",""
"13:17","1.013",""
"13:18","1.001",""
"13:19","1.015",""
"13:20","1.02",""
"13:21","1.019",""
"13:22","1.035",""
"13:23","1.006",""
"13:24","1.021",""
"13:25","1.041",""
"13:26","1.018",""
"13:27","1.018",""
"13:28","0.999",""
"13:29","1.057",""
"13:30","1.031",""
"13:31","1.011",""
"13:32","1.012",""
"13:33","1.016",""
"13:34","1.019",""
"13:35","1.052",""
"13:36","1.022",""
"13:37","1.019",""
"13:38","1.018",""
"13:39","1.112",""
"13:40","1.05",""
"13:41","1.018",""
"13:42","1.019",""
"13:43","1.043",""
"13:44","1.011",""
"13:45","1.004",""
"13:46","1.012",""
"13:47","1.019",""
"13:48","1.02",""
"13:49","1.002",""
"13:50","0.966",""
"13:51","1.009",""
"13:52","1.018",""
"13:53","1.001",""
"13:54","0.998",""
"13:55","0.968",""
"13:56","1.002",""
"13:57","0.995",""
"13:58","1.021",""
"13:59","1.02",""
"14:00","1.014",""
"14:01","1.005",""
"14:02","1.028",""
"14:03","1.024",""
"14:04","0.997",""
"14:05","1.01",""
"14:06","1.019",""
"14:07","1.02",""
"14:08","1.019",""
"14:09","1.01",""
"14:10","1.009",""
"14:11","1.001",""
"14:12","1.011",""
"14:13","1.028",""
"14:14","1.018",""
"14:15","1.02",""
"14:16","1.018",""
"14:17","1.038",""
"14:18","1.025",""
"14:19","0.994",""
"14:20","1.004",""
"14:21","1.021",""
"14:22","1.023",""
"14:23","1.014",""
"14:24","1.021",""
"14:25","1.006",""
"14:26","1.012",""
"14:27","1.02",""
"14:28","1.02",""
"14:29","1.017",""
"14:30","1.022",""
"14:31","1.022",""
"14:32","1.02",""
"14:33","1.02",""
"14:34","1.003",""
"14:35","0.972",""
"14:36","1.021",""
"14:37","1.02",""
"14:38","1.02",""
"14:39","1.026",""
"14:40","0.986",""
"14:41","1.004",""
"14:42","1.046",""
"14:43","1.003",""
"14:44","1.021",""
"14:45","1.019",""
"14:46","1.004",""
"14:47","1.001",""
"14:48","1.017",""
"14:49","1.019",""
"14:50","1.027",""
"14:51","1.025",""
"14:52","1.019",""
"14:53","1.019",""
"14:54","0.986",""
"14:55","1.019",""
"14:56","1.054",""
"14:57","1.044",""
"14:58","1.023",""
"14:59","1.02",""
"15:00","1.019",""
"15:01","1.025",""
"15:02","1.049",""
"15:03","1.028",""
"15:04","1.019",""
"15:05","1.043",""
"15:06","1.043",""
"15:07","1.018",""
"15:08","1.018",""
"15:09","1.015",""
"15:10","0.995",""
"15:11","0.962",""
"15:12","0.979",""
"15:13","1.037",""
"15:14","0.98",""
"15:15","1.019",""
"15:16","1.003",""
"15:17","1.015",""
"15:18","1.076",""
"15:19","1.042",""
"15:20","1.018",""
"15:21","1.019",""
"15:22","1.06",""
"15:23","1.039",""
"15:24","1.032",""
"15:25","1.011",""
"15:26","1.016",""
"15:27","1.02",""
"15:28","1.032",""
"15:29","0.985",""
"15:30","1.013",""
"15:31","1.019",""
"15:32","1.02",""
"15:33","1.02",""
"15:34","1.006",""
"15:35","1.012",""
"15:36","1.019",""
"15:37","1.021",""
"15:38","1.02",""
"15:39","1.02",""
"15:40","1.02",""
"15:41","1.02",""
"15:42","1.02",""
"15:43","1.02",""
"15:44","1.02",""
"15:45","1.02",""
"15:46","1.02",""
"15:47","1.002",""
"15:48","1.017",""
"15:49","1.02",""
"15:50","1.019",""
"15:51","1.054",""
"15:52","1.017",""
"15:53","0.979",""
"15:54","1.059",""
"15:55","1.005",""
"15:56","1.017",""
"15:57","1.02",""
"15:58","0.983",""
"15:59","1.007",""
"16:00","1.03",""
"16:01","1.011",""
"16:02","1.006",""
"16:03","1.018",""
"16:04","1.063",""
"16:05","1.035",""
"16:06","1.019",""
"16:07","1.02",""
"16:08","1.017",""
"16:09","1.004",""
"16:10","0.992",""
"16:11","1.004",""
"16:12","1.001",""
"16:13","1.018",""
"16:14","1.019",""
"16:15","1.002",""
"16:16","1.188",""
"16:17","1.353",""
"16:18","1.267",""
