"Relative Time","acker","acker_showstopper","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"04:52","1.091","","1.091","",""
"04:53","1.186","","1.186","",""
"04:54","1.696","","1.697","",""
"04:55","1.159","","1.16","",""
"04:56","1.395","","1.395","",""
"04:57","1.429","","1.43","",""
"04:58","1.362","","1.363","",""
"04:59","1.107","","1.107","",""
"05:00","1.102","","1.102","",""
"05:01","1.072","","1.072","",""
"05:02","1.096","","1.096","",""
"05:03","1.147","","1.147","",""
"05:04","1.301","","1.301","",""
"05:05","1.092","","1.092","",""
"05:06","1.157","","1.158","",""
"05:07","1.359","","1.36","",""
"05:08","1.375","","1.375","",""
"05:09","1.141","","1.141","",""
"05:10","1.117","","1.117","",""
"05:11","1.209","","1.209","",""
"05:12","1.398","","1.398","",""
"05:13","1.223","","1.223","",""
"05:14","1.234","","1.234","",""
"05:15","1.149","","1.149","",""
"05:16","1.307","","1.307","",""
"05:17","1.249","","1.249","",""
"05:18","1.234","","1.234","",""
"05:19","1.201","","1.201","",""
"05:20","1.334","","1.334","",""
"05:21","1.263","","1.263","",""
"05:22","1.08","","1.08","",""
"05:23","1.232","","1.232","",""
"05:24","1.266","","1.266","",""
"05:25","1.178","","1.179","",""
"05:26","1.065","","1.065","",""
"05:27","1.182","","1.182","",""
"05:28","1.213","","1.213","",""
"05:29","1.117","","1.117","",""
"05:30","1.089","","1.089","",""
"05:31","1.175","","1.175","",""
"05:32","1.133","","1.134","",""
"05:33","1.252","","1.252","",""
"05:34","1.507","","1.507","",""
"05:35","1.138","","1.138","",""
"05:36","1.27","","1.27","",""
"05:37","1.283","","1.283","",""
"05:38","1.103","","1.103","",""
"05:39","1.331","","1.331","",""
"05:40","1.206","","1.207","",""
"05:41","1.081","","1.081","",""
"05:42","1.084","","1.084","",""
"05:43","1.069","","1.07","",""
"05:44","1.356","","1.356","",""
"05:45","1.487","","1.487","",""
"05:46","1.107","","1.107","",""
"05:47","1.095","","1.095","",""
"05:48","1.071","","1.071","",""
"05:49","1.348","","1.349","",""
"05:50","1.181","","1.181","",""
"05:51","1.449","","1.449","",""
"05:52","1.664","","1.664","",""
"05:53","1.45","","1.45","",""
"05:54","1.571","","1.571","",""
"05:55","1.455","","1.455","",""
"05:56","1.113","","1.113","",""
"05:57","1.119","","1.119","",""
"05:58","1.155","","1.155","",""
"05:59","1.086","","1.087","",""
"06:00","1.146","","1.146","",""
"06:01","1.135","","1.135","",""
"06:02","1.121","","1.122","",""
"06:03","1.144","","1.144","",""
"06:04","1.11","","1.111","",""
"06:05","1.125","","1.125","",""
"06:06","1.351","","1.351","",""
"06:07","1.317","","1.317","",""
"06:08","1.176","","1.176","",""
"06:09","1.231","","1.232","",""
"06:10","1.429","","1.429","",""
"06:11","1.257","","1.257","",""
"06:12","1.118","","1.121","",""
"06:13","1.093","","1.093","",""
"06:14","1.097","","1.097","",""
"06:15","1.34","","1.34","",""
"06:16","1.123","","1.123","",""
"06:17","1.46","","1.46","",""
"06:18","1.38","","1.38","",""
"06:19","1.153","","1.154","",""
"06:20","1.06","","1.06","",""
"06:21","1.096","","1.096","",""
"06:22","1.476","","1.476","",""
"06:23","1.209","","1.209","",""
"06:24","1.242","","1.243","",""
"06:25","1.188","","1.188","",""
"06:26","1.129","","1.129","",""
"06:27","1.202","","1.202","",""
"06:28","1.234","","1.234","",""
"06:29","1.172","","1.172","",""
"06:30","1.099","","1.099","",""
"06:31","1.142","","1.142","",""
"06:32","1.168","","1.168","",""
"06:33","1.309","","1.31","",""
"06:34","1.158","","1.158","",""
"06:35","1.107","","1.108","",""
"06:36","1.086","","1.086","",""
"06:37","1.469","","1.469","",""
"06:38","1.373","","1.373","",""
"06:39","1.422","","1.422","",""
"06:40","1.267","","1.267","",""
"06:41","1.194","","1.194","",""
"06:42","1.102","","1.103","",""
"06:43","1.167","","1.167","",""
"06:44","1.097","","1.098","",""
"06:45","1.099","","1.1","",""
"06:46","1.145","","1.145","",""
"06:47","1.24","","1.241","",""
"06:48","1.26","","1.26","",""
"06:49","1.241","","1.241","",""
"06:50","1.093","","1.093","",""
"06:51","1.219","","1.219","",""
"06:52","1.636","","1.637","",""
"06:53","1.126","","1.126","",""
"06:54","1.367","","1.367","",""
"06:55","1.277","","1.277","",""
"06:56","1.076","","1.076","",""
"06:57","1.092","","1.092","",""
"06:58","1.21","","1.21","",""
"06:59","1.192","","1.192","",""
"07:00","1.429","","1.429","",""
"07:01","1.182","","1.182","",""
"07:02","1.203","","1.203","",""
"07:03","1.266","","1.267","",""
"07:04","1.251","","1.251","",""
"07:05","1.096","","1.097","",""
"07:06","1.078","","1.079","",""
"07:07","1.45","","1.451","",""
"07:08","1.46","","1.46","",""
"07:09","1.315","","1.315","",""
"07:10","1.064","","1.064","",""
"07:11","1.092","","1.092","",""
"07:12","1.092","","1.092","",""
"07:13","1.214","","1.214","",""
"07:14","1.143","","1.143","",""
"07:15","1.185","","1.185","",""
"07:16","1.519","","1.519","",""
"07:17","1.358","","1.358","",""
"07:18","1.445","","1.444","",""
"07:19","1.281","","1.281","",""
"07:20","1.408","","1.409","",""
"07:21","1.207","","1.207","",""
"07:22","1.323","","1.323","",""
"07:23","1.177","","1.177","",""
"07:24","1.064","","1.064","",""
"07:25","1.188","","1.188","",""
"07:26","1.172","","1.173","",""
"07:27","1.07","","1.071","",""
"07:28","1.133","","1.133","",""
"07:29","1.196","","1.196","",""
"07:30","1.329","","1.329","",""
"07:31","1.242","","1.242","",""
"07:32","1.347","","1.347","",""
"07:33","1.145","","1.146","",""
"07:34","1.069","","1.069","",""
"07:35","1.068","","1.068","",""
"07:36","1.094","","1.092","",""
"07:37","1.18","","1.181","",""
"07:38","1.117","","1.117","",""
"07:39","1.533","","1.533","",""
"07:40","1.161","","1.162","",""
"07:41","1.066","","1.066","",""
"07:42","1.187","","1.187","",""
"07:43","1.121","","1.121","",""
"07:44","1.27","","1.27","",""
"07:45","1.14","","1.14","",""
"07:46","1.064","","1.065","",""
"07:47","1.074","","1.074","",""
"07:48","1.154","","1.154","",""
"07:49","1.373","","1.373","",""
"07:50","1.127","","1.128","",""
"07:51","1.07","","1.07","",""
"07:52","1.064","","1.064","",""
"07:53","1.079","","1.079","",""
"07:54","1.086","","1.086","",""
"07:55","1.083","","1.083","",""
"07:56","1.067","","1.068","",""
"07:57","1.089","","1.089","",""
"07:58","1.123","","1.123","",""
"07:59","1.082","","1.082","",""
"08:00","1.186","","1.186","",""
"08:01","1.207","","1.207","",""
"08:02","1.288","","1.288","",""
"08:03","1.124","","1.124","",""
"08:04","1.095","","1.095","",""
"08:05","1.115","","1.115","",""
"08:06","1.304","","1.305","",""
"08:07","1.608","","1.608","",""
"08:08","1.554","","1.555","",""
"08:09","1.303","","1.303","",""
"08:10","1.33","","1.33","",""
"08:11","1.536","","1.536","",""
"08:12","1.374","","1.374","",""
"08:13","1.086","","1.086","",""
"08:14","1.211","","1.211","",""
"08:15","1.302","","1.303","",""
"08:16","1.32","","1.32","",""
"08:17","1.068","","1.068","",""
"08:18","1.059","","1.059","",""
"08:19","1.068","","1.069","",""
"08:20","1.116","","1.116","",""
"08:21","1.084","","1.085","",""
"08:22","1.228","","1.228","",""
"08:23","1.696","","1.697","",""
"08:24","1.207","","1.208","",""
"08:25","1.088","","1.088","",""
"08:26","1.105","","1.105","",""
"08:27","1.211","","1.212","",""
"08:28","1.168","","1.168","",""
"08:29","1.075","","1.075","",""
"08:30","1.304","","1.305","",""
"08:31","1.476","","1.476","",""
"08:32","1.348","","1.348","",""
"08:33","1.257","","1.258","",""
"08:34","1.497","","1.497","",""
"08:35","1.467","","1.468","",""
"08:36","1.17","","1.171","",""
"08:37","1.094","","1.094","",""
"08:38","1.231","","1.231","",""
"08:39","1.266","","1.266","",""
"08:40","1.104","","1.105","",""
"08:41","1.061","","1.061","",""
"08:42","1.074","","1.074","",""
"08:43","1.133","","1.133","",""
"08:44","1.075","","1.076","",""
"08:45","1.077","","1.078","",""
"08:46","1.165","","1.165","",""
"08:47","1.152","","1.152","",""
"08:48","1.457","","1.457","",""
"08:49","1.228","","1.228","",""
"08:50","1.107","","1.107","",""
"08:51","1.221","","1.221","",""
"08:52","1.103","","1.103","",""
"08:53","1.072","","1.072","",""
"08:54","1.223","","1.223","",""
"08:55","1.427","","1.427","",""
"08:56","1.399","","1.399","",""
"08:57","1.365","","1.365","",""
"08:58","1.116","","1.117","",""
"08:59","1.078","","1.079","",""
"09:00","1.069","","1.069","",""
"09:01","1.08","","1.081","",""
"09:02","1.288","","1.288","",""
"09:03","1.476","","1.477","",""
"09:04","1.51","","1.511","",""
"09:05","1.281","","1.282","",""
"09:06","1.299","","1.299","",""
"09:07","1.226","","1.227","",""
"09:08","1.06","","1.06","",""
"09:09","1.064","","1.064","",""
"09:10","1.069","","1.069","",""
"09:11","1.095","","1.095","",""
"09:12","1.323","","1.323","",""
"09:13","1.176","","1.176","",""
"09:14","1.356","","1.356","",""
"09:15","1.298","","1.298","",""
"09:16","1.401","","1.401","",""
"09:17","1.39","","1.39","",""
"09:18","1.126","","1.126","",""
"09:19","1.108","","1.108","",""
"09:20","1.093","","1.094","",""
"09:21","1.272","","1.272","",""
"09:22","1.092","","1.092","",""
"09:23","1.066","","1.066","",""
"09:24","1.073","","1.074","",""
"09:25","1.182","","1.183","",""
"09:26","1.121","","1.121","",""
"09:27","1.225","","1.225","",""
"09:28","1.205","","1.205","",""
"09:29","1.075","","1.076","",""
"09:30","1.176","","1.176","",""
"09:31","1.111","","1.111","",""
"09:32","1.111","","1.111","",""
"09:33","1.391","","1.391","",""
"09:34","1.323","","1.323","",""
"09:35","1.301","","1.301","",""
"09:36","1.351","","1.351","",""
"09:37","1.126","","1.126","",""
"09:38","1.35","","1.35","",""
"09:39","1.248","","1.248","",""
"09:40","1.069","","1.069","",""
"09:41","1.341","","1.341","",""
"09:42","1.285","","1.285","",""
"09:43","1.064","","1.065","",""
"09:44","1.084","","1.084","",""
"09:45","1.097","","1.097","",""
"09:46","1.176","","1.176","",""
"09:47","1.439","","1.439","",""
"09:48","1.146","","1.146","",""
"09:49","1.173","","1.173","",""
"09:50","1.279","","1.279","",""
"09:51","1.191","","1.191","",""
"09:52","1.294","","1.294","",""
"09:53","1.321","","1.321","",""
"09:54","1.462","","1.462","",""
"09:55","1.387","","1.387","",""
"09:56","1.135","","1.135","",""
"09:57","1.102","","1.102","",""
"09:58","1.071","","1.071","",""
"09:59","1.166","","1.166","",""
"10:00","1.469","","1.469","",""
"10:01","1.276","","1.276","","0"
"10:02","1.237","1.176","1.236","0",""
"10:03","1.427","","1.428","",""
"10:04","1.774","","1.774","",""
"10:05","1.279","","1.279","",""
"10:06","1.324","","1.324","",""
"10:07","1.219","","1.22","",""
"10:08","1.16","","1.16","",""
"10:09","1.14","","1.14","",""
"10:10","1.166","","1.166","",""
"10:11","1.101","","1.101","",""
"10:12","1.202","","1.202","",""
"10:13","1.088","","1.088","",""
"10:14","1.114","","1.115","",""
"10:15","1.245","","1.245","",""
"10:16","1.149","","1.149","",""
"10:17","1.24","","1.24","",""
"10:18","1.127","","1.127","",""
"10:19","1.275","","1.276","",""
"10:20","1.404","","1.404","",""
"10:21","1.191","","1.191","",""
"10:22","1.245","","1.245","",""
"10:23","1.167","","1.168","",""
"10:24","1.374","","1.375","",""
"10:25","1.183","","1.183","",""
"10:26","1.075","","1.075","",""
"10:27","1.321","","1.321","",""
"10:28","1.401","","1.401","",""
"10:29","1.428","","1.429","",""
"10:30","1.355","","1.355","",""
"10:31","1.432","","1.432","",""
"10:32","1.241","","1.241","",""
"10:33","1.141","","1.141","",""
"10:34","1.297","","1.298","",""
"10:35","1.5","","1.5","",""
"10:36","1.449","","1.449","",""
"10:37","1.495","","1.495","",""
"10:38","1.213","","1.213","",""
"10:39","1.16","","1.161","",""
"10:40","1.154","","1.154","",""
"10:41","1.197","","1.197","",""
"10:42","1.302","","1.302","",""
"10:43","1.116","","1.116","",""
"10:44","1.315","","1.315","",""
"10:45","1.215","","1.215","",""
"10:46","1.22","","1.22","",""
"10:47","1.324","","1.325","",""
"10:48","1.243","","1.243","",""
"10:49","1.222","","1.222","",""
"10:50","1.425","","1.426","",""
"10:51","1.74","","1.74","",""
"10:52","1.561","","1.562","",""
"10:53","1.337","","1.337","",""
"10:54","1.272","","1.272","",""
"10:55","1.139","","1.139","",""
"10:56","1.207","","1.208","",""
"10:57","1.182","","1.183","",""
"10:58","1.086","","1.087","",""
"10:59","1.099","","1.1","",""
"11:00","1.073","","1.073","",""
"11:01","1.143","","1.143","",""
"11:02","1.125","","1.125","",""
"11:03","1.189","","1.189","",""
"11:04","1.208","","1.208","",""
"11:05","1.539","","1.539","",""
"11:06","1.26","","1.26","",""
"11:07","1.214","","1.214","",""
"11:08","1.258","","1.258","",""
"11:09","1.184","","1.185","",""
"11:10","1.107","","1.107","",""
"11:11","1.068","","1.068","",""
"11:12","1.257","","1.257","",""
"11:13","1.251","","1.252","",""
"11:14","1.095","","1.095","",""
"11:15","1.153","","1.153","",""
"11:16","1.158","","1.158","",""
"11:17","1.25","","1.25","",""
"11:18","1.206","","1.206","",""
"11:19","1.277","","1.278","",""
"11:20","1.092","","1.092","",""
"11:21","1.111","","1.111","",""
"11:22","1.22","","1.221","",""
"11:23","1.359","","1.36","",""
"11:24","1.333","","1.333","",""
"11:25","1.156","","1.156","",""
"11:26","1.07","","1.07","",""
"11:27","1.238","","1.238","",""
"11:28","1.567","","1.567","",""
"11:29","1.307","","1.307","",""
"11:30","1.212","","1.212","",""
"11:31","1.062","","1.063","",""
"11:32","1.072","","1.072","",""
"11:33","1.434","","1.434","",""
"11:34","1.336","","1.339","",""
"11:35","1.249","","1.25","",""
"11:36","1.353","","1.353","",""
"11:37","1.229","","1.229","",""
"11:38","1.37","","1.37","",""
"11:39","1.393","","1.393","",""
"11:40","1.072","","1.072","",""
"11:41","1.289","","1.289","",""
"11:42","1.252","","1.252","",""
"11:43","1.128","","1.129","",""
"11:44","1.193","","1.193","",""
"11:45","1.91","","1.91","",""
"11:46","1.475","","1.475","",""
"11:47","1.265","","1.265","",""
"11:48","1.22","","1.22","",""
"11:49","1.22","","1.22","",""
"11:50","1.166","","1.166","",""
"11:51","1.164","","1.164","",""
"11:52","1.165","","1.166","",""
"11:53","1.182","","1.182","",""
"11:54","1.18","","1.18","",""
"11:55","1.19","","1.191","",""
"11:56","1.648","","1.649","",""
"11:57","1.336","","1.337","",""
"11:58","1.135","","1.135","",""
"11:59","1.109","","1.11","",""
"12:00","1.385","","1.385","",""
"12:01","1.37","","1.371","",""
"12:02","1.172","","1.173","",""
"12:03","1.17","","1.17","",""
"12:04","1.378","","1.378","",""
"12:05","1.53","","1.531","",""
"12:06","1.185","","1.185","",""
"12:07","1.107","","1.107","",""
"12:08","1.13","","1.13","",""
"12:09","1.082","","1.082","",""
"12:10","1.306","","1.307","",""
"12:11","1.106","","1.106","",""
"12:12","1.278","","1.278","",""
"12:13","1.225","","1.225","",""
"12:14","1.162","","1.162","",""
"12:15","1.327","","1.327","",""
"12:16","1.334","","1.334","",""
"12:17","1.412","","1.412","",""
"12:18","1.307","","1.307","",""
"12:19","1.095","","1.095","",""
"12:20","1.184","","1.184","",""
"12:21","1.169","","1.169","",""
"12:22","1.197","","1.197","",""
"12:23","1.267","","1.267","",""
"12:24","1.309","","1.309","",""
"12:25","1.166","","1.166","",""
"12:26","1.112","","1.112","",""
"12:27","1.09","","1.09","",""
"12:28","1.248","","1.248","",""
"12:29","1.181","","1.181","",""
"12:30","1.421","","1.421","",""
"12:31","1.276","","1.276","",""
"12:32","1.292","","1.293","",""
"12:33","1.297","","1.297","",""
"12:34","1.259","","1.259","",""
"12:35","1.266","","1.266","",""
"12:36","1.228","","1.229","",""
"12:37","1.16","","1.16","",""
"12:38","1.137","","1.137","",""
"12:39","1.086","","1.086","",""
"12:40","1.111","","1.111","",""
"12:41","1.105","","1.105","",""
"12:42","1.087","","1.088","",""
"12:43","1.233","","1.233","",""
"12:44","1.074","","1.074","",""
"12:45","1.107","","1.107","",""
"12:46","1.217","","1.217","",""
"12:47","1.402","","1.403","",""
"12:48","1.396","","1.397","",""
"12:49","1.251","","1.251","",""
"12:50","1.143","","1.143","",""
"12:51","1.402","","1.402","",""
"12:52","1.465","","1.465","",""
"12:53","1.184","","1.184","",""
"12:54","1.099","","1.099","",""
"12:55","1.066","","1.066","",""
"12:56","1.34","","1.34","",""
"12:57","1.26","","1.26","",""
"12:58","1.067","","1.068","",""
"12:59","1.208","","1.208","",""
"13:00","1.202","","1.202","",""
"13:01","1.455","","1.456","",""
"13:02","1.275","","1.275","",""
"13:03","1.21","","1.211","",""
"13:04","1.099","","1.099","",""
"13:05","1.139","","1.139","",""
"13:06","1.086","","1.086","",""
"13:07","1.167","","1.167","",""
"13:08","1.196","","1.196","",""
"13:09","1.076","","1.077","",""
"13:10","1.092","","1.092","",""
"13:11","1.173","","1.173","",""
"13:12","1.276","","1.277","",""
"13:13","1.069","","1.069","",""
"13:14","1.105","","1.105","",""
"13:15","1.065","","1.065","",""
"13:16","1.099","","1.099","",""
"13:17","1.31","","1.31","",""
"13:18","1.078","","1.078","",""
"13:19","1.336","","1.337","",""
"13:20","1.221","","1.221","",""
"13:21","1.073","","1.073","",""
"13:22","1.159","","1.159","",""
"13:23","1.497","","1.498","",""
"13:24","1.399","","1.399","",""
"13:25","1.124","","1.124","",""
"13:26","1.076","","1.077","",""
"13:27","1.138","","1.138","",""
"13:28","1.063","","1.063","",""
"13:29","1.11","","1.111","",""
"13:30","1.088","","1.088","",""
"13:31","1.081","","1.081","",""
"13:32","1.106","","1.106","",""
"13:33","1.072","","1.073","",""
"13:34","1.074","","1.075","",""
"13:35","1.068","","1.068","",""
